lat,long,MasterLoggerNumber,Bridge_Type,Number18,Number20,Number24,Number30
37.4442,-86.7135,KY-183-011,18,6,0,0,0
37.3559,-86.7487,KY-183-080,18,6,0,0,0
36.3969,-83.6648,KY-183-080,18,6,0,0,0
38.3969,-83.6648,KY-183-080,18,6,0,0,0
37.9391,-85.5655,KY-183-080,18,6,0,0,0
38.3969,-84.7909,KY-183-080,18,6,0,0,0
37.4549,-83.6578,KY-189-082,18,2,0,0,0
37.2226,-87.2565,KY-177-009,18,3,0,0,0
37.5389,-85.7536,KY-123-038,"18, 24",2,0,1,0
37.8364,-86.7298,KY-091-030,"18, 20",2,1,0,0
37.7988,-86.8823,KY-059-048,"18, 24",2,0,1,0
37.2826,-85.9734,KY-099-131,24,0,0,1,0